"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Supersedes","Exploits"
"20170509","CVE-2017-0143","4019213","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019213","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## May Monthly Rollup
"20170509","CVE-2017-0143","4019264","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019264","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019264","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019216","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019215","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019215","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019215","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019474","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019474","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019473","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019473","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019472","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019472","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019472","Windows SMB Remote Code Execution Vulnerability","Windows Server 2016","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## May Preview of Monthly Rollup
"20170516","CVE-2017-0143","4019265","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019265","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019265","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019218","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019217","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019217","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170516","CVE-2017-0143","4019217","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## June Security Only Update
"20170613","CVE-2017-0143","4022722","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022722","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022722","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022718","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022717","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022717","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022717","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## June Monthly Rollup
"20170613","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022724","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022720","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022720","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022720","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4032695","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4032695","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4032693","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4032693","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022723","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022723","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170613","CVE-2017-0143","4022723","Windows SMB Remote Code Execution Vulnerability","Windows Server 2016","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## June Preview of Monthly Rollup
"20170627","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170627","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170627","CVE-2017-0143","4022168","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170627","CVE-2017-0143","4022721","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
